Processing record 1 | arroyo 
Processing record 905 | vaini 
Processing record 906 | new norfolk 
Processing record 907 | vila franca do campo 
Processing record 908 | rikitea 
Processing record 909 | punta arenas 
Processing record 910 | san patricio 
Processing record 911 | nikolskoye 
Processing record 912 | cabedelo 
Processing record 913 | kanniyakumari 
Processing record 914 | east london 
Processing record 915 | bethel 
Processing record 916 | klaksvik 
Processing record 917 | tsihombe 
 Not found: tsihombe Skipping 
Processing record 918 | omsukchan 
Processing record 919 | victoria 
Processing record 920 | ushuaia 
Processing record 921 | nikolskoye 
Processing record 922 | thinadhoo 
Processing record 923 | chlorakas 
Processing record 924 | kapaa 
Processing record 925 | newport 
Processing record 926 | castro 
Processing record 927 | ponta do sol 
Processing record 928 | deputatskiy 
Processing record 929 | rikitea 
Processing record 930 | tuatapere 
Processing record 931 | kirakira 
Processing record 932 | chumikan 
Processing record 933 | pisco 
Processing record 934 | mys shmidta 
 Not found: mys shmidta Skipping 
Processing record 935 | cockburn town 
Processing record 936 | dhidhdhoo 
Processing record 937 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 938 | ostrovnoy 
Processing record 939 | yellowknife 
Processing record 940 | attawapiskat 
 Not found: attawapiskat Skipping 
Processing record 941 | katsuura 
Processing record 942 | albany 
Processing record 943 | cape town 
Processing record 944 | rikitea 
Processing record 945 | katangli 
Processing record 946 | burgeo 
Processing record 947 | dunedin 
Processing record 948 | fortuna 
Processing record 949 | rikitea 
Processing record 950 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 951 | cherskiy 
Processing record 952 | geraldton 
Processing record 953 | collierville 
Processing record 954 | ust-maya 
Processing record 955 | mataura 
Processing record 956 | bluff 
Processing record 957 | mahebourg 
Processing record 958 | jawhar 
Processing record 959 | rikitea 
Processing record 960 | camapua 
Processing record 961 | panjakent 
Processing record 962 | naze 
Processing record 963 | atuona 
Processing record 964 | meyungs 
 Not found: meyungs Skipping 
Processing record 965 | tuktoyaktuk 
Processing record 966 | punta arenas 
Processing record 967 | ternate 
Processing record 968 | santa cruz 
Processing record 969 | punta arenas 
Processing record 970 | kamenskoye 
 Not found: kamenskoye Skipping 
Processing record 971 | east london 
Processing record 972 | sakakah 
Processing record 973 | bredasdorp 
Processing record 974 | busselton 
Processing record 975 | hithadhoo 
Processing record 976 | mataura 
Processing record 977 | new norfolk 
Processing record 978 | grand centre 
 Not found: grand centre Skipping 
Processing record 979 | inirida 
Processing record 980 | chuy 
Processing record 981 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 982 | nhulunbuy 
Processing record 983 | benghazi 
Processing record 984 | khatanga 
Processing record 985 | sioux lookout 
Processing record 986 | rikitea 
Processing record 987 | ushuaia 
Processing record 988 | kruisfontein 
Processing record 989 | amapa 
Processing record 990 | yellowknife 
Processing record 991 | compostela 
Processing record 992 | bocaranga 
 Not found: bocaranga Skipping 
Processing record 993 | caravelas 
Processing record 994 | albany 
Processing record 995 | hermanus 
Processing record 996 | lompoc 
Processing record 997 | hermanus 
Processing record 998 | namibe 
Processing record 999 | coihaique 
Processing record 1000 | castro 
Processing record 1001 | hamilton 
Processing record 1002 | biltine 
Processing record 1003 | hailey 
Processing record 1004 | abiy adi 
 Not found: abiy adi Skipping 
Processing record 1005 | lodja 
Processing record 1006 | hermanus 
Processing record 1007 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1008 | hermanus 
Processing record 1009 | saint george 
Processing record 1010 | sentyabrskiy 
 Not found: sentyabrskiy Skipping 
Processing record 1011 | thompson 
Processing record 1012 | clyde river 
Processing record 1013 | albany 
Processing record 1014 | sentyabrskiy 
 Not found: sentyabrskiy Skipping 
Processing record 1015 | bethel 
Processing record 1016 | seddon 
Processing record 1017 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 1018 | khatanga 
Processing record 1019 | busselton 
Processing record 1020 | mar del plata 
Processing record 1021 | ushuaia 
Processing record 1022 | arraial do cabo 
Processing record 1023 | itaueira 
Processing record 1024 | saskylakh 
Processing record 1025 | cape town 
Processing record 1026 | alta floresta 
Processing record 1027 | krasnoselkup 
Processing record 1028 | kendari 
Processing record 1029 | kloulklubed 
Processing record 1030 | mount gambier 
Processing record 1031 | vaini 
Processing record 1032 | carroll 
Processing record 1033 | north myrtle beach 
Processing record 1034 | shiraoi 
Processing record 1035 | albany 
Processing record 1036 | busselton 
Processing record 1037 | guerrero negro 
Processing record 1038 | west point 
Processing record 1039 | george town 
Processing record 1040 | mishan 
Processing record 1041 | ushuaia 
Processing record 1042 | rikitea 
Processing record 1043 | moyale 
Processing record 1044 | ancud 
Processing record 1045 | new hope 
Processing record 1046 | krasnohrad 
Processing record 1047 | terney 
Processing record 1048 | louis trichardt 
Processing record 1049 | clyde river 
Processing record 1050 | bolungarvik 
 Not found: bolungarvik Skipping 
Processing record 1051 | vanimo 
Processing record 1052 | yellowknife 
Processing record 1053 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1054 | port alfred 
Processing record 1055 | ponta do sol 
Processing record 1056 | bonavista 
Processing record 1057 | handwara 
 Not found: handwara Skipping 
Processing record 1058 | kruisfontein 
Processing record 1059 | hermanus 
Processing record 1060 | rikitea 
Processing record 1061 | cape town 
Processing record 1062 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 1063 | mahebourg 
Processing record 1064 | atuona 
Processing record 1065 | hobart 
Processing record 1066 | rikitea 
Processing record 1067 | mataura 
Processing record 1068 | viedma 
Processing record 1069 | cockburn town 
Processing record 1070 | atuona 
Processing record 1071 | ushuaia 
Processing record 1072 | busselton 
Processing record 1073 | atuona 
Processing record 1074 | avarua 
Processing record 1075 | bluff 
Processing record 1076 | severo-kurilsk 
Processing record 1077 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1078 | panaba 
Processing record 1079 | lompoc 
Processing record 1080 | punta arenas 
Processing record 1081 | kabo 
Processing record 1082 | mikuni 
Processing record 1083 | bluff 
Processing record 1084 | portland 
Processing record 1085 | georgetown 
Processing record 1086 | saleaula 
 Not found: saleaula Skipping 
Processing record 1087 | abaza 
Processing record 1088 | pisco 
Processing record 1089 | formosa 
Processing record 1090 | rikitea 
Processing record 1091 | albany 
Processing record 1092 | alofi 
Processing record 1093 | nemuro 
Processing record 1094 | clyde river 
Processing record 1095 | jiazi 
Processing record 1096 | nemuro 
Processing record 1097 | bhanvad 
Processing record 1098 | medicine hat 
Processing record 1099 | dikson 
Processing record 1100 | albany 
Processing record 1101 | gidole 
Processing record 1102 | muros 
Processing record 1103 | rikitea 
Processing record 1104 | leiyang 
Processing record 1105 | manjeshwar 
Processing record 1106 | saskylakh 
Processing record 1107 | port alfred 
Processing record 1108 | tigil 
Processing record 1109 | tiznit 
Processing record 1110 | tabuk 
Processing record 1111 | darhan 
Processing record 1112 | tuatapere 
Processing record 1113 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 1114 | mar del plata 
Processing record 1115 | sisimiut 
Processing record 1116 | chuy 
Processing record 1117 | san patricio 
Processing record 1118 | ulladulla 
Processing record 1119 | kapaa 
Processing record 1120 | ushuaia 
Processing record 1121 | khatanga 
Processing record 1122 | suzano 
Processing record 1123 | yellowknife 
Processing record 1124 | broome 
Processing record 1125 | samusu 
 Not found: samusu Skipping 
Processing record 1126 | helong 
Processing record 1127 | victoria 
Processing record 1128 | tianpeng 
Processing record 1129 | codrington 
Processing record 1130 | east london 
Processing record 1131 | rikitea 
Processing record 1132 | anshun 
Processing record 1133 | ballina 
Processing record 1134 | bluff 
Processing record 1135 | sibolga 
Processing record 1136 | pundaguitan 
Processing record 1137 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 1138 | isangel 
Processing record 1139 | qaanaaq 
Processing record 1140 | saint-leu 
Processing record 1141 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 1142 | kapaa 
Processing record 1143 | new norfolk 
Processing record 1144 | iskateley 
Processing record 1145 | muros 
Processing record 1146 | ushuaia 
Processing record 1147 | oneonta 
Processing record 1148 | sana 
Processing record 1149 | grindavik 
Processing record 1150 | salalah 
Processing record 1151 | kalabo 
Processing record 1152 | hermanus 
Processing record 1153 | pendleton 
Processing record 1154 | belushya guba 
 Not found: belushya guba Skipping 
Processing record 1155 | albany 
Processing record 1156 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 1157 | isa khel 
Processing record 1158 | mataura 
Processing record 1159 | padang 
Processing record 1160 | zhigansk 
Processing record 1161 | belmonte 
Processing record 1162 | albany 
Processing record 1163 | upernavik 
Processing record 1164 | bethel 
Processing record 1165 | hofn 
Processing record 1166 | chapada dos guimaraes 
Processing record 1167 | necochea 
Processing record 1168 | the valley 
Processing record 1169 | bilibino 
Processing record 1170 | bluefield 
Processing record 1171 | laguna 
Processing record 1172 | jamestown 
Processing record 1173 | pemangkat 
Processing record 1174 | cabo san lucas 
Processing record 1175 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1176 | new norfolk 
Processing record 1177 | ushuaia 
Processing record 1178 | vaini 
Processing record 1179 | faanui 
Processing record 1180 | ribeira grande 
Processing record 1181 | kavieng 
Processing record 1182 | atuona 
Processing record 1183 | hermanus 
Processing record 1184 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 1185 | narasannapeta 
Processing record 1186 | ushuaia 
Processing record 1187 | ushuaia 
Processing record 1188 | georgetown 
Processing record 1189 | bluff 
Processing record 1190 | micheweni 
Processing record 1191 | tual 
Processing record 1192 | warrnambool 
Processing record 1193 | cayenne 
Processing record 1194 | bluff 
Processing record 1195 | ushuaia 
Processing record 1196 | punta arenas 
Processing record 1197 | gambela 
Processing record 1198 | mataura 
Processing record 1199 | ratlam 
Processing record 1200 | dicabisagan 
Processing record 1201 | belushya guba 
 Not found: belushya guba Skipping 
Processing record 1202 | iisalmi 
Processing record 1203 | carballo 
Processing record 1204 | bluff 
Processing record 1205 | busselton 
Processing record 1206 | fort nelson 
Processing record 1207 | wolgast 
Processing record 1208 | esperance 
Processing record 1209 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 1210 | praia 
Processing record 1211 | bluff 
Processing record 1212 | xam nua 
Processing record 1213 | san patricio 
Processing record 1214 | cantanhede 
Processing record 1215 | vestmanna 
Processing record 1216 | nanortalik 
Processing record 1217 | karaul 
 Not found: karaul Skipping 
Processing record 1218 | college 
Processing record 1219 | albany 
Processing record 1220 | norman wells 
Processing record 1221 | yellowknife 
Processing record 1222 | korla 
Processing record 1223 | jamestown 
Processing record 1224 | tres marias 
Processing record 1225 | carnarvon 
Processing record 1226 | ganta 
Processing record 1227 | rikitea 
Processing record 1228 | puerto ayora 
Processing record 1229 | lorengau 
Processing record 1230 | rikitea 
Processing record 1231 | nanortalik 
Processing record 1232 | rio gallegos 
Processing record 1233 | punta arenas 
Processing record 1234 | albany 
Processing record 1235 | punta arenas 
Processing record 1236 | mataura 
Processing record 1237 | busselton 
Processing record 1238 | akdepe 
Processing record 1239 | punta arenas 
Processing record 1240 | sao filipe 
Processing record 1241 | mys shmidta 
 Not found: mys shmidta Skipping 
Processing record 1242 | vaini 
Processing record 1243 | bulawayo 
Processing record 1244 | lebu 
Processing record 1245 | mattru 
Processing record 1246 | cusset 
Processing record 1247 | bardiyah 
Processing record 1248 | ushuaia 
Processing record 1249 | huanren 
Processing record 1250 | amderma 
 Not found: amderma Skipping 
Processing record 1251 | portland 
Processing record 1252 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1253 | tuatapere 
Processing record 1254 | punta arenas 
Processing record 1255 | puerto ayora 
Processing record 1256 | mataura 
Processing record 1257 | paamiut 
Processing record 1258 | asyut 
Processing record 1259 | alexandria 
Processing record 1260 | hermanus 
Processing record 1261 | danilovka 
Processing record 1262 | leningradskiy 
Processing record 1263 | carnarvon 
Processing record 1264 | chuy 
Processing record 1265 | albany 
Processing record 1266 | goderich 
Processing record 1267 | mataura 
Processing record 1268 | nome 
Processing record 1269 | san policarpo 
Processing record 1270 | ushuaia 
Processing record 1271 | campbell river 
Processing record 1272 | ilo 
Processing record 1273 | ribeira grande 
Processing record 1274 | cape town 
Processing record 1275 | vao 
Processing record 1276 | busselton 
Processing record 1277 | rikitea 
Processing record 1278 | creel 
Processing record 1279 | busselton 
Processing record 1280 | tiksi 
Processing record 1281 | bredasdorp 
Processing record 1282 | albany 
Processing record 1283 | qaanaaq 
Processing record 1284 | rikitea 
Processing record 1285 | ushuaia 
Processing record 1286 | aklavik 
Processing record 1287 | naze 
Processing record 1288 | manakara 
Processing record 1289 | saint-augustin 
Processing record 1290 | ituni 
 Not found: ituni Skipping 
Processing record 1291 | vao 
Processing record 1292 | port moresby 
Processing record 1293 | matay 
Processing record 1294 | tuktoyaktuk 
Processing record 1295 | ushuaia 
Processing record 1296 | ngukurr 
 Not found: ngukurr Skipping 
Processing record 1297 | jiaozuo 
Processing record 1298 | mataura 
Processing record 1299 | la primavera 
Processing record 1300 | sisimiut 
Processing record 1301 | pevek 
Processing record 1302 | mount isa 
Processing record 1303 | harper 
Processing record 1304 | kapaa 
Processing record 1305 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1306 | battle creek 
Processing record 1307 | ondorhaan 
 Not found: ondorhaan Skipping 
Processing record 1308 | berlevag 
Processing record 1309 | punta arenas 
Processing record 1310 | punta arenas 
Processing record 1311 | katsuura 
Processing record 1312 | hobart 
Processing record 1313 | basco 
Processing record 1314 | mataura 
Processing record 1315 | tasiilaq 
Processing record 1316 | mataura 
Processing record 1317 | bluff 
Processing record 1318 | lalibela 
Processing record 1319 | buta 
Processing record 1320 | torbay 
Processing record 1321 | jamestown 
Processing record 1322 | punta arenas 
Processing record 1323 | punta arenas 
Processing record 1324 | cape town 
Processing record 1325 | cherskiy 
Processing record 1326 | warrington 
Processing record 1327 | rikitea 
Processing record 1328 | narsaq 
Processing record 1329 | kavieng 
Processing record 1330 | neverkino 
Processing record 1331 | clyde river 
Processing record 1332 | vaini 
Processing record 1333 | thompson 
Processing record 1334 | vaini 
Processing record 1335 | constitucion 
Processing record 1336 | cabo san lucas 
Processing record 1337 | grand gaube 
Processing record 1338 | yellowknife 
Processing record 1339 | wanning 
Processing record 1340 | lajas 
Processing record 1341 | new norfolk 
Processing record 1342 | victor harbor 
Processing record 1343 | sorong 
Processing record 1344 | nizhneyansk 
 Not found: nizhneyansk Skipping 
Processing record 1345 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 1346 | barbar 
 Not found: barbar Skipping 
Processing record 1347 | kodiak 
Processing record 1348 | punta arenas 
Processing record 1349 | shahr-e babak 
Processing record 1350 | jamestown 
Processing record 1351 | kashan 
Processing record 1352 | mar del plata 
Processing record 1353 | tumannyy 
 Not found: tumannyy Skipping 
Processing record 1354 | jamestown 
Processing record 1355 | souillac 
Processing record 1356 | hermanus 
Processing record 1357 | lasa 
Processing record 1358 | hualmay 
Processing record 1359 | mataura 
Processing record 1360 | vila franca do campo 
Processing record 1361 | port alfred 
Processing record 1362 | tuatapere 
Processing record 1363 | mataura 
Processing record 1364 | vostok 
Processing record 1365 | ambilobe 
Processing record 1366 | virden 
Processing record 1367 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 1368 | eureka 
Processing record 1369 | rikitea 
Processing record 1370 | sitka 
Processing record 1371 | rikitea 
Processing record 1372 | shitanjing 
Processing record 1373 | saint cloud 
Processing record 1374 | bengkulu 
Processing record 1375 | chokurdakh 
Processing record 1376 | tasiilaq 
Processing record 1377 | bredasdorp 
Processing record 1378 | krasnoselkup 
Processing record 1379 | salalah 
Processing record 1380 | bluff 
Processing record 1381 | east london 
Processing record 1382 | murray bridge 
Processing record 1383 | bredasdorp 
Processing record 1384 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 1385 | flin flon 
Processing record 1386 | maragogi 
Processing record 1387 | puerto ayora 
Processing record 1388 | pedasi 
Processing record 1389 | ahipara 
Processing record 1390 | saint-philippe 
Processing record 1391 | manzhouli 
Processing record 1392 | mbaiki 
Processing record 1393 | rikitea 
Processing record 1394 | bondo 
Processing record 1395 | buraydah 
Processing record 1396 | kuche 
 Not found: kuche Skipping 
Processing record 1397 | diamantino 
Processing record 1398 | atuona 
Processing record 1399 | nikolskoye 
Processing record 1400 | ushuaia 
Processing record 1401 | hermanus 
Processing record 1402 | tuktoyaktuk 
Processing record 1403 | longyearbyen 
Processing record 1404 | yerbogachen 
Processing record 1405 | busselton 
Processing record 1406 | new norfolk 
Processing record 1407 | cherskiy 
Processing record 1408 | sorong 
Processing record 1409 | kaytitinga 
Processing record 1410 | the hammocks 
Processing record 1411 | butaritari 
Processing record 1412 | hermanus 
Processing record 1413 | mataura 
Processing record 1414 | nemuro 
Processing record 1415 | sao filipe 
Processing record 1416 | notse 
Processing record 1417 | bilma 
Processing record 1418 | ponta do sol 
Processing record 1419 | blonduos 
 Not found: blonduos Skipping 
Processing record 1420 | bethel 
Processing record 1421 | sysert 
Processing record 1422 | puerto ayora 
Processing record 1423 | yulara 
Processing record 1424 | hermanus 
Processing record 1425 | olenino 
Processing record 1426 | upernavik 
Processing record 1427 | mayo 
Processing record 1428 | kavieng 
Processing record 1429 | ilulissat 
Processing record 1430 | atuona 
Processing record 1431 | kaeo 
Processing record 1432 | rocha 
Processing record 1433 | nguru 
Processing record 1434 | tiksi 
Processing record 1435 | leningradskiy 
Processing record 1436 | luderitz 
Processing record 1437 | sorland 
Processing record 1438 | aykhal 
Processing record 1439 | busselton 
Processing record 1440 | asau 
Processing record 1441 | flinders 
Processing record 1442 | kutulik 
Processing record 1443 | butaritari 
Processing record 1444 | richards bay 
Processing record 1445 | saskylakh 
Processing record 1446 | hirara 
Processing record 1447 | bikapur 
Processing record 1448 | pimentel 
Processing record 1449 | akcakoca 
Processing record 1450 | turinskaya sloboda 
Processing record 1451 | jawhar 
Processing record 1452 | vammala 
Processing record 1453 | georgetown 
Processing record 1454 | raudeberg 
Processing record 1455 | novoyegoryevskoye 
 Not found: novoyegoryevskoye Skipping 
Processing record 1456 | grindavik 
Processing record 1457 | disna 
Processing record 1458 | vardo 
Processing record 1459 | port hardy 
Processing record 1460 | kapaa 
Processing record 1461 | rikitea 
Processing record 1462 | serpneve 
Processing record 1463 | albany 
Processing record 1464 | punta arenas 
Processing record 1465 | coihaique 
Processing record 1466 | severo-kurilsk 
Processing record 1467 | bambous virieux 
Processing record 1468 | mtwara 
Processing record 1469 | thompson 
Processing record 1470 | pine bluff 
Processing record 1471 | chemax 
Processing record 1472 | hambantota 
Processing record 1473 | lorengau 
Processing record 1474 | arraial do cabo 
Processing record 1475 | kodinsk 
Processing record 1476 | hihifo 
 Not found: hihifo Skipping 
Processing record 1477 | mataura 
Processing record 1478 | bolgatanga 
Processing record 1479 | shingu 
Processing record 1480 | ushuaia 
Processing record 1481 | betsiamites 
Processing record 1482 | amudat 
Processing record 1483 | palembang 
Processing record 1484 | broome 
Processing record 1485 | vaini 
Processing record 1486 | chokurdakh 
Processing record 1487 | mugur-aksy 
Processing record 1488 | mount gambier 
Processing record 1489 | hilo 
Processing record 1490 | severo-kurilsk 
Processing record 1491 | hermanus 
Processing record 1492 | cape town 
Processing record 1493 | hithadhoo 
Processing record 1494 | carnarvon 
Processing record 1495 | atuona 
Processing record 1496 | cabo san lucas 
Processing record 1497 | khatanga 
Processing record 1498 | atuona 
Processing record 1499 | atuona 
Processing record 1500 | tasiilaq 
